"year","unitid","inst_name","state_name","number_applied","number_admitted","sat_crit_read_25_pctl","sat_crit_read_75_pctl","sat_math_25_pctl","sat_math_75_pctl","act_composite_25_pctl","act_composite_75_pctl","act_english_25_pctl","act_english_75_pctl","act_math_25_pctl","act_math_75_pctl","inst_control","institution_level"
"2016","160959","College of the Atlantic","Maine","485","314","","","","","","","","","","","Private not-for-profit","Four or more years"
"2016","160977","Bates College","Maine","5356","1213","","","","","","","","","","","Private not-for-profit","Four or more years"
"2016","161004","Bowdoin College","Maine","6799","1009","","","","","","","","","","","Private not-for-profit","Four or more years"
"2016","161086","Colby College","Maine","9833","1840","630","725","640","745","30","33","30","34","27","32","Private not-for-profit","Four or more years"
"2016","161217","University of Maine at Augusta","Maine","","","","","","","","","","","","","Public","Four or more years"
"2016","161226","University of Maine at Farmington","Maine","1880","1512","","","","","","","","","","","Public","Four or more years"
"2016","161235","University of Maine at Fort Kent","Maine","481","392","390","510","400","475","16","22","12","22","16","20","Public","Four or more years"
"2016","161244","University of Maine at Machias","Maine","","","","","","","","","","","","","Public","Four or more years"
"2016","161253","University of Maine","Maine","12952","11625","470","590","480","600","21","26","20","25","20","26","Public","Four or more years"
"2016","161280","University of Maine-System Central Office","Maine","","","","","","","","","","","","","Public","Four or more years"
"2016","161299","Maine Maritime Academy","Maine","882","666","450","560","480","580","21","25","19","24","21","27","Public","Four or more years"
"2016","161341","University of Maine at Presque Isle","Maine","1491","1293","","","","","","","","","","","Public","Four or more years"
"2016","161457","University of New England","Maine","4883","4056","470","570","470","580","21","26","20","25","20","26","Private not-for-profit","Four or more years"
"2016","161509","Maine College of Art","Maine","529","457","","","","","","","","","","","Private not-for-profit","Four or more years"
"2016","161518","Saint Joseph's College of Maine","Maine","1323","1033","420","520","390","500","20","23","19","24","17","25","Private not-for-profit","Four or more years"
"2016","161554","University of Southern Maine","Maine","4111","3299","440","550","430","540","19","25","17","24","18","25","Public","Four or more years"
"2016","161563","Thomas College","Maine","","","","","","","","","","","","","Private not-for-profit","Four or more years"
"2016","161572","Unity College","Maine","991","920","","","","","","","","","","","Private not-for-profit","Four or more years"
"2016","462044","Institute for Doctoral Studies in the Visual Arts","Maine","","","","","","","","","","","","","Private not-for-profit","Four or more years"
"2016","487524","Husson University","Maine","2460","1974","430","530","430","540","17","23","16","23","17","24","Private not-for-profit","Four or more years"
"2015","160959","College of the Atlantic","Maine","400","302","","","","","","","","","","","Private not-for-profit","Four or more years"
"2015","160977","Bates College","Maine","5651","1231","","","","","","","","","","","Private not-for-profit","Four or more years"
"2015","161004","Bowdoin College","Maine","6790","1010","","","","","","","","","","","Private not-for-profit","Four or more years"
"2015","161086","Colby College","Maine","7593","1710","630","720","640","740","29","32","29","34","27","33","Private not-for-profit","Four or more years"
"2015","161165","Husson University","Maine","","","","","","","","","","","","","Private not-for-profit","Four or more years"
"2015","161217","University of Maine at Augusta","Maine","","","","","","","","","","","","","Public","Four or more years"
"2015","161226","University of Maine at Farmington","Maine","1614","1346","","","","","","","","","","","Public","Four or more years"
"2015","161235","University of Maine at Fort Kent","Maine","215","192","400","480","400","500","15","19","13","18","17","22","Public","Four or more years"
"2015","161244","University of Maine at Machias","Maine","","","","","","","","","","","","","Public","Four or more years"
"2015","161253","University of Maine","Maine","11044","10073","480","600","480","610","21","28","","","","","Public","Four or more years"
"2015","161280","University of Maine-System Central Office","Maine","","","","","","","","","","","","","Public","Four or more years"
"2015","161299","Maine Maritime Academy","Maine","769","501","460","560","490","590","19","26","19","25","21","26","Public","Four or more years"
"2015","161341","University of Maine at Presque Isle","Maine","1442","1112","","","","","","","","","","","Public","Four or more years"
"2015","161457","University of New England","Maine","4416","3760","480","580","480","590","20","29","19","27","20","27","Private not-for-profit","Four or more years"
"2015","161509","Maine College of Art","Maine","411","403","","","","","","","","","","","Private not-for-profit","Four or more years"
"2015","161518","Saint Joseph's College of Maine","Maine","1390","1079","440","540","450","540","21","26","19","24","17","27","Private not-for-profit","Four or more years"
"2015","161554","University of Southern Maine","Maine","3402","2986","420","550","440","550","19","25","18","25","18","25","Public","Four or more years"
"2015","161563","Thomas College","Maine","1079","997","","","","","","","","","","","Private not-for-profit","Four or more years"
"2015","161572","Unity College","Maine","831","756","","","","","","","","","","","Private not-for-profit","Four or more years"
"2015","373827","New England School of Communications","Maine","","","","","","","","","","","","","Private not-for-profit","Four or more years"
"2015","462044","Institute for Doctoral Studies in the Visual Arts","Maine","","","","","","","","","","","","","Private not-for-profit","Four or more years"
"2015","487524","Husson University","Maine","2066","1663","430","530","430","540","18","23","17","23","17","24","Private not-for-profit","Four or more years"
"2014","160959","College of the Atlantic","Maine","429","305","","","","","","","","","","","Private not-for-profit","Four or more years"
