"year","unitid","inst_name","state_name","level_of_study","enrollment_fall"
"2016","160959","College of the Atlantic","Maine","Undergraduate","337"
"2016","160959","College of the Atlantic","Maine","Graduate","7"
"2016","160977","Bates College","Maine","Undergraduate","1780"
"2016","161004","Bowdoin College","Maine","Undergraduate","1806"
"2016","161086","Colby College","Maine","Undergraduate","1879"
"2016","161217","University of Maine at Augusta","Maine","Undergraduate","4416"
"2016","161226","University of Maine at Farmington","Maine","Undergraduate","1782"
"2016","161226","University of Maine at Farmington","Maine","Graduate","218"
"2016","161235","University of Maine at Fort Kent","Maine","Undergraduate","1904"
"2016","161244","University of Maine at Machias","Maine","Undergraduate","745"
"2016","161253","University of Maine","Maine","Undergraduate","9323"
"2016","161253","University of Maine","Maine","Graduate","1896"
"2016","161299","Maine Maritime Academy","Maine","Undergraduate","1014"
"2016","161299","Maine Maritime Academy","Maine","Graduate","31"
"2016","161341","University of Maine at Presque Isle","Maine","Undergraduate","1326"
"2016","161457","University of New England","Maine","Undergraduate","4247"
"2016","161457","University of New England","Maine","Graduate","4016"
"2016","161509","Maine College of Art","Maine","Undergraduate","459"
"2016","161509","Maine College of Art","Maine","Graduate","29"
"2016","161518","Saint Joseph's College of Maine","Maine","Undergraduate","1504"
"2016","161518","Saint Joseph's College of Maine","Maine","Graduate","598"
"2016","161554","University of Southern Maine","Maine","Undergraduate","6189"
"2016","161554","University of Southern Maine","Maine","Graduate","1666"
"2016","161563","Thomas College","Maine","Undergraduate","1227"
"2016","161563","Thomas College","Maine","Graduate","148"
"2016","161572","Unity College","Maine","Undergraduate","729"
"2016","161572","Unity College","Maine","Graduate","10"
"2016","462044","Institute for Doctoral Studies in the Visual Arts","Maine","Graduate","70"
"2016","487524","Husson University","Maine","Undergraduate","2833"
"2016","487524","Husson University","Maine","Graduate","838"
"2015","160959","College of the Atlantic","Maine","Undergraduate","338"
"2015","160959","College of the Atlantic","Maine","Graduate","10"
"2015","160977","Bates College","Maine","Undergraduate","1792"
"2015","161004","Bowdoin College","Maine","Undergraduate","1799"
"2015","161086","Colby College","Maine","Undergraduate","1857"
"2015","161217","University of Maine at Augusta","Maine","Undergraduate","4683"
"2015","161226","University of Maine at Farmington","Maine","Undergraduate","1795"
"2015","161226","University of Maine at Farmington","Maine","Graduate","221"
"2015","161235","University of Maine at Fort Kent","Maine","Undergraduate","1559"
"2015","161244","University of Maine at Machias","Maine","Undergraduate","786"
"2015","161253","University of Maine","Maine","Undergraduate","9297"
"2015","161253","University of Maine","Maine","Graduate","1625"
"2015","161299","Maine Maritime Academy","Maine","Undergraduate","995"
"2015","161299","Maine Maritime Academy","Maine","Graduate","37"
"2015","161341","University of Maine at Presque Isle","Maine","Undergraduate","1289"
"2015","161457","University of New England","Maine","Undergraduate","3800"
