"year","unitid","inst_name","state_name","state_of_residence","type_of_freshman","enrollment_fall"
"2016","160959","College of the Atlantic","Maine","California","Graduated from HS in past 12 months","2"
"2016","160959","College of the Atlantic","Maine","Florida","Total","1"
"2016","160959","College of the Atlantic","Maine","Oregon","Total","2"
"2016","160959","College of the Atlantic","Maine","Washington","Total","2"
"2016","160959","College of the Atlantic","Maine","Pennsylvania","Total","2"
"2016","160959","College of the Atlantic","Maine","Ohio","Graduated from HS in past 12 months","2"
"2016","160959","College of the Atlantic","Maine","Pennsylvania","Graduated from HS in past 12 months","0"
"2016","160959","College of the Atlantic","Maine","Colorado","Graduated from HS in past 12 months","2"
"2016","160959","College of the Atlantic","Maine","Foreign countries","Total","20"
"2016","160959","College of the Atlantic","Maine","Maryland","Graduated from HS in past 12 months","2"
"2016","160959","College of the Atlantic","Maine","New Hampshire","Total","1"
"2016","160959","College of the Atlantic","Maine","Massachusetts","Total","4"
"2016","160959","College of the Atlantic","Maine","Virginia","Total","2"
"2016","160959","College of the Atlantic","Maine","Wisconsin","Total","1"
"2016","160959","College of the Atlantic","Maine","New Jersey","Total","3"
"2016","160959","College of the Atlantic","Maine","Montana","Graduated from HS in past 12 months","0"
"2016","160959","College of the Atlantic","Maine","US total","Total","59"
"2016","160959","College of the Atlantic","Maine","Michigan","Graduated from HS in past 12 months","1"
"2016","160959","College of the Atlantic","Maine","US total","Graduated from HS in past 12 months","51"
"2016","160959","College of the Atlantic","Maine","New Hampshire","Graduated from HS in past 12 months","1"
"2016","160959","College of the Atlantic","Maine","Oregon","Graduated from HS in past 12 months","2"
"2016","160959","College of the Atlantic","Maine","Total","Graduated from HS in past 12 months","63"
"2016","160959","College of the Atlantic","Maine","Vermont","Total","5"
"2016","160959","College of the Atlantic","Maine","New Jersey","Graduated from HS in past 12 months","3"
"2016","160959","College of the Atlantic","Maine","Maine","Total","13"
"2016","160959","College of the Atlantic","Maine","New Mexico","Graduated from HS in past 12 months","1"
"2016","160959","College of the Atlantic","Maine","Florida","Graduated from HS in past 12 months","1"
"2016","160959","College of the Atlantic","Maine","New Mexico","Total","2"
"2016","160959","College of the Atlantic","Maine","Colorado","Total","2"
"2016","160959","College of the Atlantic","Maine","Foreign countries","Graduated from HS in past 12 months","12"
"2016","160959","College of the Atlantic","Maine","Total","Total","79"
"2016","160959","College of the Atlantic","Maine","Washington","Graduated from HS in past 12 months","2"
"2016","160959","College of the Atlantic","Maine","Texas","Total","4"
"2016","160959","College of the Atlantic","Maine","New York","Graduated from HS in past 12 months","3"
"2016","160959","College of the Atlantic","Maine","Wisconsin","Graduated from HS in past 12 months","1"
"2016","160959","College of the Atlantic","Maine","North Carolina","Graduated from HS in past 12 months","1"
"2016","160959","College of the Atlantic","Maine","Maryland","Total","2"
"2016","160959","College of the Atlantic","Maine","Maine","Graduated from HS in past 12 months","12"
"2016","160959","College of the Atlantic","Maine","Georgia","Total","1"
"2016","160959","College of the Atlantic","Maine","California","Total","2"
"2016","160959","College of the Atlantic","Maine","Ohio","Total","2"
"2016","160959","College of the Atlantic","Maine","Massachusetts","Graduated from HS in past 12 months","3"
"2016","160959","College of the Atlantic","Maine","Texas","Graduated from HS in past 12 months","4"
"2016","160959","College of the Atlantic","Maine","New York","Total","4"
"2016","160959","College of the Atlantic","Maine","Vermont","Graduated from HS in past 12 months","5"
"2016","160959","College of the Atlantic","Maine","Montana","Total","1"
"2016","160959","College of the Atlantic","Maine","North Carolina","Total","2"
"2016","160959","College of the Atlantic","Maine","Virginia","Graduated from HS in past 12 months","2"
"2016","160959","College of the Atlantic","Maine","Michigan","Total","1"
"2016","160959","College of the Atlantic","Maine","Georgia","Graduated from HS in past 12 months","1"
"2016","160977","Bates College","Maine","Georgia","Graduated from HS in past 12 months","2"
"2016","160977","Bates College","Maine","Tennessee","Total","2"
"2016","160977","Bates College","Maine","New Jersey","Graduated from HS in past 12 months","15"
"2016","160977","Bates College","Maine","Rhode Island","Total","11"
"2016","160977","Bates College","Maine","Utah","Total","2"
"2016","160977","Bates College","Maine","Indiana","Total","2"
"2016","160977","Bates College","Maine","Georgia","Total","2"
"2016","160977","Bates College","Maine","Pennsylvania","Total","11"
"2016","160977","Bates College","Maine","Illinois","Graduated from HS in past 12 months","11"
"2016","160977","Bates College","Maine","Louisiana","Graduated from HS in past 12 months","1"
"2016","160977","Bates College","Maine","Vermont","Graduated from HS in past 12 months","6"
"2016","160977","Bates College","Maine","Nevada","Total","1"
"2016","160977","Bates College","Maine","Connecticut","Total","39"
"2016","160977","Bates College","Maine","Texas","Total","10"
"2016","160977","Bates College","Maine","California","Graduated from HS in past 12 months","34"
"2016","160977","Bates College","Maine","Montana","Total","2"
"2016","160977","Bates College","Maine","Louisiana","Total","1"
"2016","160977","Bates College","Maine","Massachusetts","Graduated from HS in past 12 months","81"
"2016","160977","Bates College","Maine","Ohio","Total","3"
"2016","160977","Bates College","Maine","Colorado","Total","10"
"2016","160977","Bates College","Maine","Virginia","Graduated from HS in past 12 months","6"
"2016","160977","Bates College","Maine","Colorado","Graduated from HS in past 12 months","8"
"2016","160977","Bates College","Maine","US total","Total","456"
"2016","160977","Bates College","Maine","New York","Total","74"
"2016","160977","Bates College","Maine","Montana","Graduated from HS in past 12 months","2"
"2016","160977","Bates College","Maine","Rhode Island","Graduated from HS in past 12 months","11"
"2016","160977","Bates College","Maine","Oregon","Graduated from HS in past 12 months","6"
"2016","160977","Bates College","Maine","District of Columbia","Graduated from HS in past 12 months","7"
"2016","160977","Bates College","Maine","Alaska","Graduated from HS in past 12 months","1"
"2016","160977","Bates College","Maine","Arizona","Graduated from HS in past 12 months","2"
"2016","160977","Bates College","Maine","Hawaii","Total","1"
"2016","160977","Bates College","Maine","Pennsylvania","Graduated from HS in past 12 months","11"
"2016","160977","Bates College","Maine","New Hampshire","Graduated from HS in past 12 months","14"
"2016","160977","Bates College","Maine","Utah","Graduated from HS in past 12 months","2"
"2016","160977","Bates College","Maine","Missouri","Graduated from HS in past 12 months","3"
"2016","160977","Bates College","Maine","Michigan","Total","3"
"2016","160977","Bates College","Maine","North Carolina","Total","5"
"2016","160977","Bates College","Maine","Virginia","Total","6"
"2016","160977","Bates College","Maine","Connecticut","Graduated from HS in past 12 months","38"
"2016","160977","Bates College","Maine","Residence not reported (balance line)","Graduated from HS in past 12 months",""
"2016","160977","Bates College","Maine","Iowa","Graduated from HS in past 12 months","1"
"2016","160977","Bates College","Maine","South Carolina","Graduated from HS in past 12 months","1"
"2016","160977","Bates College","Maine","Iowa","Total","1"
"2016","160977","Bates College","Maine","New Mexico","Total","2"
"2016","160977","Bates College","Maine","Arizona","Total","2"
"2016","160977","Bates College","Maine","Florida","Graduated from HS in past 12 months","12"
"2016","160977","Bates College","Maine","New Mexico","Graduated from HS in past 12 months","2"
